time,close
12/19/2013,13.26
12/20/2013,12.76
12/23/2013,12.78
12/24/2013,13.44
12/25/2013,13.61
12/26/2013,13
12/27/2013,13.26
12/30/2013,13.48
12/31/2013,13.28
1/2/2014,13.47
1/3/2014,13.68
1/6/2014,12.97
1/7/2014,13.16
1/8/2014,13.5
1/9/2014,13.83
1/10/2014,13.48
1/13/2014,13.84
1/14/2014,14.3
1/15/2014,14.35
1/16/2014,13.94
1/17/2014,14.01
1/20/2014,14.33
1/21/2014,14.37
1/22/2014,15.36
1/23/2014,15.39
1/24/2014,16.07
1/27/2014,15.74
1/28/2014,17.18
1/29/2014,16.95
1/30/2014,16.85
2/7/2014,17.33
2/10/2014,17.91
2/11/2014,17.58
2/12/2014,18.3
2/13/2014,18.31
2/14/2014,18.07
2/17/2014,19.88
2/18/2014,20.08
2/19/2014,20.26
2/20/2014,20.26
2/21/2014,20.26
2/24/2014,20.26
2/25/2014,20.26
2/26/2014,20.26
2/27/2014,18.81
2/28/2014,19.78
3/3/2014,19.39
3/4/2014,20.77
3/5/2014,19.89
3/6/2014,19.1
3/7/2014,18.54
3/10/2014,17.05
3/11/2014,16.55
3/12/2014,17.04
3/13/2014,17.52
3/14/2014,17.55
3/17/2014,17.55
3/18/2014,17.85
3/19/2014,17.3
3/20/2014,16.19
3/21/2014,16.39
3/24/2014,16.3
3/25/2014,16.94
3/26/2014,17
3/27/2014,16.56
3/28/2014,15.13
3/31/2014,15.6
4/1/2014,16.01
4/2/2014,15.88
4/3/2014,16.07
4/4/2014,15.96
4/8/2014,16.01
4/9/2014,16.2
4/10/2014,16.24
4/11/2014,16.15
4/14/2014,16.04
4/15/2014,16.12
4/16/2014,16.46
4/17/2014,16.47
4/18/2014,17.22
4/21/2014,17.07
4/22/2014,17.35
4/23/2014,17.02
4/24/2014,15.96
4/25/2014,14.6
4/28/2014,14.61
4/29/2014,14.65
4/30/2014,14.24
5/5/2014,14.49
5/6/2014,14.68
5/7/2014,14.1
5/8/2014,14.1
5/9/2014,13.56
5/12/2014,13.82
5/13/2014,14.01
5/14/2014,13.95
5/15/2014,13.28
5/16/2014,13.11
5/19/2014,13.4
5/20/2014,13.4
5/21/2014,14.08
5/22/2014,14.01
5/23/2014,14.56
